id;label;position;orientation
1;sports ball;{"x":2.67,"y":4};z: 0.17511451830598246    w: 0.9845480716950614
2;vase;{"x":1.88,"y":-0.77};z: 0.009999808897484188    w: 0.9999500006610399
3;dinning table;{"x":5.5,"y":0.95};z: 0.0020640524349523496    w: 0.9999978698415041
4;chair;{"x":5.33,"y":0.14};z: 0.009999781890479922    w: 0.999950000931118
5;refrigerator;{"x":7.95,"y":-1.00};z: 0.009999650580562515    w: 0.9999500022442456
6;bed;{"x":-6.10,"y":0.40};z: 0.7027636949553382    w: 0.711423354306506
7;tv;{"x":-0.16,"y":-4.10};z: -0.4477919061733745    w: 0.894137801888286
8;chair;{"x":-8.10,"y":1.00};z: 0.8840080331250969	w: 0.4674717075613213
9;cup;{"x":-8.50,"y":0.40};z: 0.8266802630042416    w: 0.5626719672768832

id;label;position
1;sports ball;{"x":2.67,"y":4}
2;vase;{"x":1.88,"y":-0.77}
3;dinning table;{"x":5.5,"y":0.95}
4;chair;{"x":5.33,"y":0.14}
5;refrigerator;{"x":7.95,"y":-1.00}
6;bed;{"x":-6.10,"y":0.40}
7;tv;{"x":-0.16,"y":-4.10}
8;chair;{"x":-8.10,"y":1.00}
9;cup;{"x":-8.50,"y":0.40}
